,Names,Rating,Number_of_review,Street,Locations,price_range,Number_of_photos,kind,Amenities
122,Hotel JL no. 76,5,19,1071 CT Amsterdam,"Museumkwartier, Zuid",€€€ ,12,Unclaimed,"['Accepts Debit Cards', 'Free Wi-Fi']"
123,Hotel King's Court,5,1,1062 EB Amsterdam,Slotervaart,Unclaimed ,6,Unclaimed,[]
124,Hotel IX,2.5,2,1016 CB Amsterdam,"Negen Straatjes, Centrum",€€ ,photo,Unclaimed,['Free Wi-Fi']
125,Hotel Jansen,3,Hotels,Amsterdam,"Hoofddorppleinbuurt, Zuid",[],30,Hotels,[]
126,Hotel Internationaal,4,3,1012 HT Amsterdam,"Centrum, De Wallen",€€ ,photo,Unclaimed,['Free Wi-Fi']
127,Motel One,3.5,Hotels,1079 PC Amsterdam,Zuid,€€€ ,photo,Unclaimed,['Free Wi-Fi']
128,THE Ritz-Carlton Hotel Company,5,[],1043 BW Amsterdam,[],[],[],Unclaimed,[]
129,Ramada Apollo,4,32,1057 PH Amsterdam,See all photos from Winnie C. for Ramada Apollo,€€€ ,36,Unclaimed,"['Accepts Debit Cards', 'Free Wi-Fi']"
130,Hotel NH Amsterdam Zuid,4.5,6,1082 GG Amsterdam,"Buitenveldert, Zuid",€€ ,4,Hotels,"['Accepts Debit Cards', 'Free Wi-Fi']"
131,Freeland Hotel,3,2,1017 PL Amsterdam,Centrum,Unclaimed ,7,Unclaimed,[]
132,Hotel TwentySeven,4,3,1012 JS Amsterdam,"De Wallen, Centrum",Unclaimed ,5,Unclaimed,[]
133,Hotel Rembrandt,4,1,1018 DA Amsterdam,"Plantagebuurt, Centrum",€€€ ,13,Unclaimed,"['Accepts Debit Cards', 'Free Wi-Fi']"
134,Coco Mama Hostel,4,18,1017 ZP Amsterdam,Centrum,Unclaimed ,6,Unclaimed,['Free Wi-Fi']
135,Hotel Royal Taste,3.5,1,1012 DP Amsterdam,"De Wallen, Centrum",Unclaimed ,6,Unclaimed,[]
136,Hotel Mr. Jordaan,4,1,1015 TN Amsterdam,"Jordaan, Centrum",Unclaimed ,7,Unclaimed,[]
137,Zuiver,3.5,34,1081 KH Amsterdam,"Buitenveldert, Zuid",€€€ ,28,Hotels,['Accepts Debit Cards']
138,Keizersgracht Residence,[],1,1015 CW Amsterdam,Centrum,[],4,Hotels,['Free Wi-Fi']
139,Hotel La Boheme,5,1,1017 PK Amsterdam,Centrum,€€ ,photo,Unclaimed,"['Accepts Debit Cards', 'Free Wi-Fi']"
140,Yotel,4.5,1,1031 HM Amsterdam,Noord,Unclaimed ,photo,Unclaimed,[]
141,Apollo Museumhotel Amsterdam City Centre,3.5,21,1071 BX Amsterdam,"Museumkwartier, Zuid",€€ ,7,Unclaimed,"['Accepts Debit Cards', 'Free Wi-Fi']"
142,Winston,4.5,18,1012 JA Amsterdam,"De Wallen, Centrum",€€ ,32,Hotels,"['Accepts Debit Cards', 'Free Wi-Fi']"
143,Hotel Camp Inn,4.5,3,1055 RD Amsterdam,"Bos en Lommer, West",[],11,Hotels,['Free Wi-Fi']
144,Amsterdam Tropen Hotel,4,4,1092 CK Amsterdam,"Oosterparkbuurt, Oost",[],13,Hotels,"['Accepts Debit Cards', 'Free Wi-Fi']"
145,Boutique hotel Museum Suites Amsterdam,4.5,Hotels,1071 Amsterdam,"Museumkwartier, Zuid",[],24,Hotels,['Free Wi-Fi']
146,Hotel Ibis City Stopera,4.5,9,1011 LZ Amsterdam,Centrum,€€ ,photo,Unclaimed,"['Accepts Debit Cards', 'Free Wi-Fi']"
147,Hotel Atlas Amsterdam,[],4,1071 GK Amsterdam,"Museumkwartier, Zuid",€€ ,photo,Unclaimed,"['Accepts Debit Cards', 'Free Wi-Fi']"
148,International Budget Hostel,4,6,1016 Amsterdam,"Jordaan, Centrum",€ ,5,Unclaimed,['Free Wi-Fi']
149,"Filosoof Hotel,",3.5,2,1054 GZ Amsterdam,"Oud West, West",Unclaimed ,photo,Unclaimed,[]
150,Park Plaza Vondelpark Amsterdam,5,15,1075 CZ Amsterdam,"Willemspark, Zuid",€€ ,19,Hotels,"['Outdoor Seating', 'Good for Working', 'Street Parking', 'Paid Wi-Fi']"
151,Hotel Cornelisz,3.5,7,1071 BX Amsterdam,"Museumkwartier, Zuid",€€ ,4,Unclaimed,['Free Wi-Fi']
152,Bilderberg Garden Hotel,3,12,1077 BJ Amsterdam,"Apollobuurt, Zuid",€€€ ,photo,Hotels,"['Accepts Debit Cards', 'Paid Wi-Fi']"
153,Owl Hotel,3,2,1054 EV Amsterdam,West,€€€ ,6,Unclaimed,"['Accepts Debit Cards', 'Free Wi-Fi']"
154,Savoy Hotel Amsterdam,5,4,1072 LW Amsterdam,"De Pijp, Zuid",€€ ,photo,Hotels,"['Accepts Debit Cards', 'Free Wi-Fi']"
155,Dikker & Thijs Fenice Hotel,4,[],1017 KE Amsterdam,Centrum,[],[],See all 38 photos,['12 reviews']
156,Arcade Hotel,4,3,1073 EC Amsterdam,"De Pijp, Zuid",€€ ,7,Hotels,"['Accepts Debit Cards', 'Free Wi-Fi']"
157,Hotel Plantage,5,Hotels,1018 CV Amsterdam,"Plantagebuurt, Centrum",Unclaimed ,photo,Unclaimed,[]
158,Hotel Toon,3.5,3,1017 VN Amsterdam,[],Unclaimed ,11,Unclaimed,['Free Wi-Fi']
159,Teun Hotel,3.5,Hotels,1013 KB Amsterdam,"Haarlemmerbuurt, Centrum",Unclaimed ,photo,Unclaimed,[]
160,Hotel Rokin,3,3,1012 KL Amsterdam,"De Wallen, Centrum",€€€ ,9,Unclaimed,['Free Wi-Fi']
161,The Lancaster Hotel,5,4,1018 DH Amsterdam,"Plantagebuurt, Centrum",[],17,Hotels,[]
162,Hotel Blyss,2,6,1054 GN Amsterdam,"Oud West, West",€€€€ ,10,Unclaimed,['Free Wi-Fi']
163,Hotel Victorie,3,Hotels,1078 PH Amsterdam,"Rivierenbuurt, Zuid",Unclaimed ,photo,Unclaimed,[]
164,1 cheap hotels,4.5,Hotel,Damstraat,"De Wallen, Centrum",Unclaimed ,photo,Unclaimed,[]
165,Hotel Prinsengracht Amsterdam,3,5,1017 KN Amsterdam,Centrum,€€ ,11,Unclaimed,['Free Wi-Fi']
166,New West Inn Hotel,[],6,1069 AE Amsterdam,Osdorp,€€ ,5,Unclaimed,['Free Wi-Fi']
167,Monet Garden Hotel,4,3,1011 LZ Amsterdam,Centrum,Unclaimed ,4,Unclaimed,[]
168,Hotel Abba,4,3,1054 HM Amsterdam,"Helmersbuurt, Oud West, West",€€ ,7,Unclaimed,"['Accepts Debit Cards', 'Free Wi-Fi']"
169,The Flying Pig Uptown,[],23,1071 AJ Amsterdam,"Museumkwartier, Zuid",[],30,Hostels,[]
170,Rembrandt Square Hotel,3,14,1017 DA Amsterdam,Centrum,€€ ,43,Hotels,"['Accepts Debit Cards', 'Free Wi-Fi']"
171,Armada Hotel Amsterdam,4.5,7,1017 DX Amsterdam,Centrum,€€ ,photo,Hotels,"['Accepts Debit Cards', 'Free Wi-Fi']"
172,Singel Hotel,4,11,1012 VC Amsterdam,Centrum,€€€ ,5,Unclaimed,"['Accepts Debit Cards', 'Free Wi-Fi']"
173,Hotel NH Collection Amsterdam Barbizon Palace,4,41,1012 AD Amsterdam,"Centrum, De Wallen",€€€ ,58,Hotels,"['Accepts Debit Cards', 'Free Wi-Fi']"
174,Hotel Flipper,5,3,1078 VA Amsterdam,"Rivierenbuurt, Zuid",€€ ,photo,Unclaimed,"['Accepts Debit Cards', 'Free Wi-Fi']"
175,Amsterdam ID Aparthotel,4,3,1043 BP Amsterdam,[],€€ ,4,Unclaimed,['Free Wi-Fi']
176,Prinsenhof Hotel,4.5,3,1017 JL Amsterdam,Centrum,€€ ,photo,Unclaimed,"['Accepts Debit Cards', 'Free Wi-Fi']"
177,Apple Inn Hotel,[],4,1075 CJ Amsterdam,"Willemspark, Zuid",€€€ ,photo,Unclaimed,"['Accepts Debit Cards', 'Free Wi-Fi']"
178,Hotel NH Amsterdam Schiller,[],13,1017 CV Amsterdam,Centrum,€€ ,40,Hotels,"['Accepts Debit Cards', 'Free Wi-Fi']"
179,Hotel Weber,3.5,2,1017 PJ Amsterdam,Centrum,Unclaimed ,12,Unclaimed,['Free Wi-Fi']
180,Pestana Amsterdam Riverside,3.5,Hotels,1074 HZ Amsterdam,"De Pijp, Zuid",Unclaimed ,photo,Unclaimed,[]
181,KAP Hotel,3.5,4,1017 XW Amsterdam,Centrum,€€ ,photo,Unclaimed,['Accepts Debit Cards']
182,No. 377 House,4.5,9,1054 AC Amsterdam,"Helmersbuurt, West",€€ ,24,Unclaimed,['Free Wi-Fi']
183,Hotel Aspen,4,2,1016 DC Amsterdam,Centrum,€€ ,5,Unclaimed,['Free Wi-Fi']
184,Bastion Deluxe Hotel Amsterdam / Amstel,4.5,7,Duivendrecht,Duivendrecht,€€ ,5,Unclaimed,"['Accepts Debit Cards', 'Free Wi-Fi']"
185,Hotel Nicolaas Witsen,4,2,1017 ZH Amsterdam,Centrum,€€ ,photo,Hotels,[]
186,Hotel Hortus,5,3,1018 SR Amsterdam,"Plantagebuurt, Centrum",Unclaimed ,photo,Unclaimed,['Free Wi-Fi']
187,Hotel De Looier,4,7,1016 VD Amsterdam,"Jordaan, Centrum",€€ ,5,Unclaimed,"['Accepts Debit Cards', 'Free Wi-Fi']"
188,Shelter City Christian Hostel,5,9,1012 BV Amsterdam,"De Wallen, Centrum",[],photo,Hostels,[]
189,Jaz In The City,5,11,"Amsterdam Zuid-Oost, Noord-Holland",Zuid Oost,€€ ,25,Unclaimed,['Free Wi-Fi']
190,[],4,[],[],[],[],[],[],[]
191,[],3,[],[],[],[],[],[],[]
192,[],4,[],[],[],[],[],[],[]
193,[],2.5,[],[],[],[],[],[],[]
194,[],2.5,[],[],[],[],[],[],[]
195,[],[],[],[],[],[],[],[],[]
196,[],3.5,[],[],[],[],[],[],[]
197,[],4,[],[],[],[],[],[],[]
198,[],2.5,[],[],[],[],[],[],[]
199,[],2.5,[],[],[],[],[],[],[]
200,[],3,[],[],[],[],[],[],[]
201,[],4,[],[],[],[],[],[],[]
202,[],3.5,[],[],[],[],[],[],[]
203,[],4,[],[],[],[],[],[],[]
204,[],2.5,[],[],[],[],[],[],[]
205,[],4.5,[],[],[],[],[],[],[]
206,[],2.5,[],[],[],[],[],[],[]
207,[],[],[],[],[],[],[],[],[]
208,[],4,[],[],[],[],[],[],[]
209,[],[],[],[],[],[],[],[],[]
210,[],4.5,[],[],[],[],[],[],[]
211,[],3,[],[],[],[],[],[],[]
212,[],2,[],[],[],[],[],[],[]
213,[],4,[],[],[],[],[],[],[]
214,[],[],[],[],[],[],[],[],[]
215,[],[],[],[],[],[],[],[],[]
216,[],[],[],[],[],[],[],[],[]
217,[],[],[],[],[],[],[],[],[]
218,[],[],[],[],[],[],[],[],[]
219,[],[],[],[],[],[],[],[],[]
220,[],[],[],[],[],[],[],[],[]
221,[],[],[],[],[],[],[],[],[]
222,[],[],[],[],[],[],[],[],[]
223,[],[],[],[],[],[],[],[],[]
224,[],[],[],[],[],[],[],[],[]
225,[],[],[],[],[],[],[],[],[]
226,[],[],[],[],[],[],[],[],[]
227,[],[],[],[],[],[],[],[],[]
228,[],[],[],[],[],[],[],[],[]
229,[],[],[],[],[],[],[],[],[]
230,[],[],[],[],[],[],[],[],[]
231,[],[],[],[],[],[],[],[],[]
232,[],[],[],[],[],[],[],[],[]
233,[],[],[],[],[],[],[],[],[]
234,[],[],[],[],[],[],[],[],[]
235,[],[],[],[],[],[],[],[],[]
236,[],[],[],[],[],[],[],[],[]
237,[],[],[],[],[],[],[],[],[]
238,[],[],[],[],[],[],[],[],[]
239,[],[],[],[],[],[],[],[],[]
